longitud_decimal_x,latitud_decimal_y,Poblacion_total
-99.31589806,19.625715,323545
-99.41977222,19.61574417,6758
-99.41394778,19.64148,5848
-99.35885806,19.64270472,1834
-99.33918556,19.63771472,4362
-99.35578222,19.63419472,12136
-99.37515972,19.68431806,3956
-99.3555275,19.68907333,5745
-99.38405944,19.65401528,5991
-99.42292806,19.67289139,835
-99.32551917,19.5932625,5213
-99.41510778,19.57686417,4147
-99.39165528,19.64475556,1292
-99.39589667,19.67041389,13
-99.35925361,19.59590222,1041
-99.40328861,19.64096139,58
-99.350915,19.5998025,1982
-99.34752972,19.64006,1583
-99.35601389,19.63113806,4850
-99.35781083,19.67153667,1684
-99.44471806,19.63258333,1045
-99.33933556,19.67549028,94
-99.37135139,19.67671333,2494
-99.4400175,19.61602167,160
-99.42439667,19.63912694,888
-99.36832806,19.70368667,393
-99.36060111,19.69391056,1475
-99.33892556,19.6853075,767
-99.36863333,19.65025139,1441
-99.36136639,19.60121361,991
-99.34901639,19.62275583,16708
-99.35405667,19.64143194,638
-99.4192325,19.59859722,1195
-99.42952667,19.648195,72
-99.32765167,19.64254056,3452
-99.43930972,19.65153972,69
-99.39930833,19.58737861,354
-99.37547361,19.58946417,332
-99.42266111,19.64650917,787
-99.40344056,19.65401,29
-99.38778556,19.6581175,677
-99.28445194,19.65932194,1311
-99.41051028,19.61465694,918
-99.3786075,19.64518194,332
-99.36059917,19.61052611,1106